Weight vector: [[ 0.90032473  0.78604619  0.85077613  1.29870263  0.1298506   1.57192678
   0.99844888 -0.01520158]]
Learning rate: 0.75
Step	Cost
312	[15.12520613]
313	[15.12474991]
314	[15.12429514]
315	[15.12384182]
316	[15.12338994]
317	[15.12293951]
318	[15.1224905]
319	[15.12204293]
320	[15.12159678]
321	[15.12115205]
322	[15.12070874]
323	[15.12026684]
324	[15.11982635]
325	[15.11938726]
326	[15.11894957]
327	[15.11851327]
328	[15.11807836]
329	[15.11764484]
330	[15.11721269]
331	[15.11678193]
332	[15.11635253]
333	[15.1159245]
334	[15.11549784]
335	[15.11507253]
336	[15.11464858]
337	[15.11422598]
338	[15.11380473]
339	[15.11338481]
340	[15.11296624]
341	[15.11254899]
342	[15.11213308]
343	[15.11171849]
344	[15.11130522]
345	[15.11089326]
346	[15.11048262]
347	[15.11007328]
348	[15.10966525]
349	[15.10925852]
350	[15.10885309]
351	[15.10844894]
352	[15.10804608]
353	[15.10764451]
354	[15.10724421]
355	[15.10684519]
356	[15.10644744]
357	[15.10605095]
358	[15.10565573]
359	[15.10526177]
360	[15.10486906]
361	[15.1044776]
362	[15.10408739]
363	[15.10369842]
364	[15.10331069]
365	[15.10292419]
366	[15.10253893]
367	[15.10215489]
368	[15.10177208]
369	[15.10139048]
370	[15.1010101]
371	[15.10063093]
372	[15.10025297]
373	[15.09987621]
374	[15.09950065]
375	[15.09912629]
376	[15.09875312]
377	[15.09838114]
378	[15.09801034]
379	[15.09764073]
380	[15.09727229]
381	[15.09690502]
382	[15.09653892]
383	[15.09617399]
384	[15.09581022]
385	[15.09544761]
386	[15.09508616]
387	[15.09472585]
388	[15.0943667]
389	[15.09400868]
390	[15.09365181]
391	[15.09329607]
392	[15.09294147]
393	[15.092588]
394	[15.09223565]
395	[15.09188442]
396	[15.09153431]
397	[15.09118532]
398	[15.09083744]
399	[15.09049066]
400	[15.09014499]
401	[15.08980042]
402	[15.08945695]
403	[15.08911457]
404	[15.08877329]
405	[15.08843309]
406	[15.08809397]
407	[15.08775593]
408	[15.08741897]
409	[15.08708308]
410	[15.08674826]
411	[15.08641451]
412	[15.08608182]
413	[15.08575019]
414	[15.08541962]
415	[15.0850901]
416	[15.08476163]
417	[15.0844342]
418	[15.08410782]
419	[15.08378247]
420	[15.08345817]
421	[15.08313489]
422	[15.08281265]
423	[15.08249143]
424	[15.08217123]
425	[15.08185205]
426	[15.08153389]
427	[15.08121675]
428	[15.08090061]
429	[15.08058548]
430	[15.08027135]
431	[15.07995823]
432	[15.0796461]
433	[15.07933496]
434	[15.07902482]
435	[15.07871566]
436	[15.07840749]
437	[15.0781003]
438	[15.07779409]
439	[15.07748885]
440	[15.07718458]
441	[15.07688129]
442	[15.07657896]
443	[15.07627759]
444	[15.07597718]
445	[15.07567773]
446	[15.07537923]
447	[15.07508168]
448	[15.07478508]
449	[15.07448943]
450	[15.07419471]
451	[15.07390094]
452	[15.0736081]
453	[15.07331619]
454	[15.07302522]
455	[15.07273516]
456	[15.07244604]
457	[15.07215783]
458	[15.07187054]
459	[15.07158417]
460	[15.07129871]
461	[15.07101415]
462	[15.07073051]
463	[15.07044776]
464	[15.07016592]
465	[15.06988498]
466	[15.06960493]
467	[15.06932577]
468	[15.0690475]
469	[15.06877011]
470	[15.06849361]
471	[15.06821799]
472	[15.06794325]
473	[15.06766938]
474	[15.06739639]
475	[15.06712426]
476	[15.066853]
477	[15.06658261]
478	[15.06631307]
479	[15.0660444]
480	[15.06577658]
481	[15.06550961]
482	[15.06524349]
483	[15.06497822]
484	[15.0647138]
485	[15.06445021]
486	[15.06418747]
487	[15.06392556]
488	[15.06366449]
489	[15.06340425]
490	[15.06314484]
491	[15.06288625]
492	[15.06262849]
493	[15.06237155]
494	[15.06211542]
495	[15.06186011]
496	[15.06160562]
497	[15.06135193]
498	[15.06109906]
499	[15.06084698]
500	[15.06059571]
501	[15.06034525]
502	[15.06009557]
503	[15.0598467]
504	[15.05959861]
505	[15.05935132]
506	[15.05910481]
507	[15.05885909]
508	[15.05861416]
509	[15.05837]
510	[15.05812662]
511	[15.05788401]
512	[15.05764218]
513	[15.05740111]
514	[15.05716082]
515	[15.05692129]
516	[15.05668252]
517	[15.05644451]
518	[15.05620726]
519	[15.05597077]
520	[15.05573503]
521	[15.05550004]
522	[15.0552658]
523	[15.0550323]
524	[15.05479955]
525	[15.05456754]
526	[15.05433627]
527	[15.05410573]
528	[15.05387593]
529	[15.05364686]
530	[15.05341852]
531	[15.05319091]
532	[15.05296402]
533	[15.05273785]
534	[15.05251241]
535	[15.05228768]
536	[15.05206367]
537	[15.05184037]
538	[15.05161778]
539	[15.0513959]
540	[15.05117473]
541	[15.05095426]
542	[15.0507345]
543	[15.05051543]
544	[15.05029707]
545	[15.05007939]
546	[15.04986241]
547	[15.04964612]
548	[15.04943052]
549	[15.04921561]
550	[15.04900138]
551	[15.04878784]
552	[15.04857497]
553	[15.04836278]
554	[15.04815127]
555	[15.04794043]
556	[15.04773026]
557	[15.04752076]
558	[15.04731193]
559	[15.04710376]
560	[15.04689626]
561	[15.04668942]
562	[15.04648323]
563	[15.04627771]
564	[15.04607283]
565	[15.04586861]
566	[15.04566504]
567	[15.04546212]
568	[15.04525985]
569	[15.04505821]
570	[15.04485722]
571	[15.04465688]
572	[15.04445716]
573	[15.04425809]
574	[15.04405965]
575	[15.04386184]
576	[15.04366466]
577	[15.04346811]
578	[15.04327218]
579	[15.04307688]
580	[15.0428822]
581	[15.04268814]
582	[15.0424947]
583	[15.04230187]
584	[15.04210966]
585	[15.04191806]
586	[15.04172707]
587	[15.04153669]
588	[15.04134691]
589	[15.04115774]
590	[15.04096918]
591	[15.04078121]
592	[15.04059384]
593	[15.04040707]
594	[15.04022089]
595	[15.0400353]
596	[15.03985031]
597	[15.0396659]
598	[15.03948209]
599	[15.03929885]
600	[15.03911621]
601	[15.03893414]
602	[15.03875265]
603	[15.03857174]
604	[15.03839141]
605	[15.03821165]
606	[15.03803246]
607	[15.03785385]
608	[15.0376758]
609	[15.03749832]
610	[15.03732141]
611	[15.03714505]
612	[15.03696927]
613	[15.03679404]
614	[15.03661936]
615	[15.03644525]
616	[15.03627169]
617	[15.03609868]
618	[15.03592622]
619	[15.03575431]
620	[15.03558295]
621	[15.03541214]
622	[15.03524186]
623	[15.03507213]
624	[15.03490295]
625	[15.0347343]
626	[15.03456618]
627	[15.03439861]
628	[15.03423156]
629	[15.03406505]
630	[15.03389907]
631	[15.03373362]
632	[15.03356869]
633	[15.03340429]
634	[15.03324041]
635	[15.03307706]
636	[15.03291422]
637	[15.0327519]
638	[15.0325901]
639	[15.03242882]
640	[15.03226805]
641	[15.03210779]
642	[15.03194804]
643	[15.0317888]
644	[15.03163007]
645	[15.03147184]
646	[15.03131412]
647	[15.0311569]
648	[15.03100018]
649	[15.03084396]
650	[15.03068823]
651	[15.030533]
